"Treatuntreat_EP","Kingdom","Phylum","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"SOD-UT","Fungi","Basidiomycota",0.655848801834008,0.151169341920929,0.022534994976607,45,100
"SOD-UT","Fungi","Ascomycota",0.15302629295472,0.0831588632103709,0.0123965914046664,45,100
"SOD-UT","Fungi","Mortierellomycota",0.139959461492267,0.106038019652521,0.0158072146761664,45,100
"SOD-UT","Fungi","Mucoromycota",0.0350277108658962,0.0252531812402679,0.0037645219934241,45,100
"SOD-UT","Other","Other",0.0161377328531088,NA,NA,NA,NA
"SOD-T","Fungi","Basidiomycota",0.553188798321597,0.162069824879268,0.025951941845431,39,100
"SOD-T","Fungi","Ascomycota",0.263373506153626,0.128287998729741,0.0205425203919427,39,100
"SOD-T","Fungi","Mortierellomycota",0.100929537561064,0.0907967622269987,0.0145391179068888,39,100
"SOD-T","Fungi","Mucoromycota",0.0555671232522087,0.0562901477503789,0.00901363743668375,39,100
"SOD-T","Fungi","Chytridiomycota",0.0171406756344184,0.0196055860297136,0.00313940629520484,39,100
"SOD-T","Other","Other",0.00980035907708528,NA,NA,NA,NA
