"YrSinceTrt_BR","Genus","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"Unmitigated","Globisporangium",0.362748359477283,0.338460254721341,0.0549055035171758,38,81.578947368421
"Unmitigated","Pythium",0.146233099177025,0.212087905215723,0.0344052013887411,38,65.7894736842105
"Unmitigated","Phytopythium",0.119864792540196,0.239709460241038,0.0388860092987892,38,39.4736842105263
"Unmitigated","Achlya",0.116713833917398,0.215557187444478,0.0349679932821934,38,36.8421052631579
"Unmitigated","Phytophthora",0.0642276079892209,0.193049254262647,0.0313167243747206,38,42.1052631578947
"Unmitigated","Saprolegnia",0.0528603458631158,0.187355040590675,0.0303930009406311,38,21.0526315789474
"Unmitigated","Halophytophthora",0.0427845222739745,0.133974074609091,0.0217334647777655,38,15.7894736842105
"Unmitigated","Lagenidium",0.0415038144476052,0.165652096283602,0.0268723184724159,38,7.89473684210526
"Unmitigated","Elongisporangium",0.0252275229705661,0.127595595050401,0.0206987387591013,38,7.89473684210526
"Unmitigated","Aphanomyces",0.0244002092203846,0.0639823992366261,0.0103793157315213,38,26.3157894736842
"Unmitigated","Other",0.00229446398088234,NA,NA,NA,NA
"1 to 2","Globisporangium",0.449067683787522,0.350302813543639,0.0783300903793011,20,75
"1 to 2","Pythium",0.123919164617634,0.185100571252824,0.0413897459995359,20,65
"1 to 2","Phytopythium",0.103885583079561,0.166271924763251,0.0371795326520361,20,45
"1 to 2","Phytophthora",0.0881828043190586,0.170580414521515,0.03814294025002,20,35
"1 to 2","Saprolegnia",0.0668173384954829,0.156502115268364,0.034994936836257,20,40
"1 to 2","Elongisporangium",0.0530997002752777,0.13441060710273,0.030055125437872,20,20
"1 to 2","Lagenidium",0.0420049372996801,0.133154307346783,0.0297742082724306,20,20
"1 to 2","Achlya",0.0340240422663366,0.099400596684055,0.0222266491189587,20,25
"1 to 2","Albugo",0.0141698414649134,0.0633694574918829,0.0141698414649134,20,5
"1 to 2","Aphanomyces",0.0110077387132515,0.0256141926519629,0.00572750759585646,20,40
"1 to 2","Other",0.0099247876611423,NA,NA,NA,NA
"3 to 4","Thraustotheca",0.301199409633067,0.46521904576792,0.26859434130625,3,66.6666666666667
"3 to 4","Globisporangium",0.277660571964369,0.480922217900922,0.277660571964369,3,33.3333333333333
"3 to 4","Achlya",0.186945681413754,0.258228557259071,0.149088327045973,3,66.6666666666667
"3 to 4","Aphanomyces",0.0897552656677294,0.148624387139466,0.085808329923114,3,66.6666666666667
"3 to 4","Saprolegnia",0.0871121740087606,0.140322756194584,0.0810153810623733,3,66.6666666666667
"3 to 4","Pythium",0.054797793335221,0.0936992438534379,0.0540972836616468,3,66.6666666666667
"3 to 4","Other",0.00128105405510173,NA,NA,NA,NA
"5 to 8","Saprolegnia",0.413605156832901,0.42502372329476,0.160643867591523,7,85.7142857142857
"5 to 8","Globisporangium",0.402848470046043,0.42866708468431,0.162020928759107,7,57.1428571428571
"5 to 8","Pythium",0.0914146333743005,0.201281078077694,0.0760770966023648,7,28.5714285714286
"5 to 8","Phytophthora",0.0573409032293708,0.147503735195048,0.0557511715398888,7,28.5714285714286
"5 to 8","Other",0.0185762057375373,NA,NA,NA,NA
"5 to 8","Thraustotheca",0.0162146307798482,0.0428998806442116,0.0162146307798482,7,14.2857142857143
"10 to 12","Globisporangium",0.357448298309831,0.388306258981877,0.158525366405769,6,66.6666666666667
"10 to 12","Saprolegnia",0.231259654270052,0.358432668126043,0.146329524008858,6,66.6666666666667
"10 to 12","Achlya",0.179329046479802,0.401258679928972,0.163813170114789,6,66.6666666666667
"10 to 12","Pythium",0.173341265872135,0.237400643310093,0.0969184067863668,6,83.3333333333333
"10 to 12","Phytopythium",0.0311419429527036,0.0750368821444652,0.0306336788572163,6,33.3333333333333
"10 to 12","Other",0.0202757963317246,NA,NA,NA,NA
